Transacao gerada: De: 0x2477 | Para: 0xdd4 | Hash: 
Transacao gerada: De: 0x1f69 | Para: 0x11c9 | Hash: 
Transacao gerada: De: 0x849 | Para: 0x526 | Hash: 
Transacao gerada: De: 0xae2 | Para: 0x20f6 | Hash: 
Transacao gerada: De: 0x2690 | Para: 0x20c4 | Hash: 
Transacao gerada: De: 0x17ad | Para: 0x10fd | Hash: 
Transacao gerada: De: 0x17f0 | Para: 0x202c | Hash: 
Transacao gerada: De: 0x1bb9 | Para: 0x235d | Hash: 
Transacao gerada: De: 0x1790 | Para: 0x22b4 | Hash: 
Transacao gerada: De: 0x1c49 | Para: 0x2061 | Hash: 
Transacao gerada: De: 0xcdf | Para: 0xc87 | Hash: 
Transacao gerada: De: 0x1c4a | Para: 0xbf8 | Hash: 
Transacao gerada: De: 0xec8 | Para: 0x1ac8 | Hash: 
Transacao gerada: De: 0x16d9 | Para: 0x112b | Hash: 
Transacao gerada: De: 0xb6b | Para: 0x1e72 | Hash: 
Transacao gerada: De: 0xb32 | Para: 0x11b3 | Hash: 
Transacao gerada: De: 0xfcc | Para: 0x12ab | Hash: 
Transacao gerada: De: 0xca6 | Para: 0x8f1 | Hash: 
Transacao gerada: De: 0xd16 | Para: 0x1d37 | Hash: 
Transacao gerada: De: 0x1079 | Para: 0x17a0 | Hash: 
Heitor foi escolhido
Hash gerada: 433a4bc4279bd6f57e06f196732ccddedf329196f3e0a67c645533af34a63ba5
[Nome : Bernardo, Nome : Othon, Nome : Heitor, Nome : othonvv, Nome : Fabricio, Nome : Jorge Jesus, Nome : Pedro, Nome : Gabriel] validadores listados
[Nome : Bernardo, Nome : Othon, Nome : Heitor, Nome : othonvv, Nome : Fabricio, Nome : Jorge Jesus, Nome : Pedro, Nome : Gabriel] validadores listados
[Nome : Bernardo, Nome : Othon, Nome : Heitor, Nome : othonvv, Nome : Fabricio, Nome : Jorge Jesus, Nome : Pedro, Nome : Gabriel] validadores listados
[Nome : Bernardo, Nome : Othon, Nome : Heitor, Nome : othonvv, Nome : Fabricio, Nome : Jorge Jesus, Nome : Pedro, Nome : Gabriel] validadores listados
Transacao gerada: De: 0xcb0 | Para: 0x26c1 | Hash: 
Transacao gerada: De: 0x8b4 | Para: 0xea3 | Hash: 
Transacao gerada: De: 0x6eb | Para: 0xbd3 | Hash: 
Transacao gerada: De: 0x10d8 | Para: 0x1ce3 | Hash: 
Transacao gerada: De: 0x1783 | Para: 0x23ab | Hash: 
Transacao gerada: De: 0xf03 | Para: 0x11a4 | Hash: 
Transacao gerada: De: 0x1177 | Para: 0xe85 | Hash: 
Transacao gerada: De: 0x9a6 | Para: 0x691 | Hash: 
Transacao gerada: De: 0x6df | Para: 0x864 | Hash: 
Transacao gerada: De: 0x1e90 | Para: 0x1ec3 | Hash: 
Transacao gerada: De: 0x1074 | Para: 0x25d7 | Hash: 
Transacao gerada: De: 0x133f | Para: 0x1154 | Hash: 
Transacao gerada: De: 0x17d3 | Para: 0x1e46 | Hash: 
Transacao gerada: De: 0xe8d | Para: 0x1670 | Hash: 
Transacao gerada: De: 0x1b26 | Para: 0x11ca | Hash: 
Transacao gerada: De: 0x191a | Para: 0x1169 | Hash: 
Transacao gerada: De: 0x146c | Para: 0x262b | Hash: 
Transacao gerada: De: 0x23be | Para: 0x7d9 | Hash: 
Transacao gerada: De: 0x2240 | Para: 0xb27 | Hash: 
Transacao gerada: De: 0x1d45 | Para: 0x192a | Hash: 
Transacao gerada: De: 0xf14 | Para: 0x26a1 | Hash: 
Transacao gerada: De: 0x1bd5 | Para: 0x10e2 | Hash: 
Transacao gerada: De: 0x2575 | Para: 0x1031 | Hash: 
Transacao gerada: De: 0x1c87 | Para: 0x2305 | Hash: 
Transacao gerada: De: 0x154b | Para: 0xba3 | Hash: 
Transacao gerada: De: 0x453 | Para: 0x1061 | Hash: 
Transacao gerada: De: 0x2399 | Para: 0xb1b | Hash: 
Transacao gerada: De: 0x1cd5 | Para: 0x14fa | Hash: 
Transacao gerada: De: 0x1a49 | Para: 0x1611 | Hash: 
Transacao gerada: De: 0x124c | Para: 0xb5a | Hash: 
Nome : lucas cadastrado com sucesso
[Nome : Bernardo, Nome : Othon, Nome : Heitor, Nome : othonvv, Nome : Fabricio, Nome : Jorge Jesus, Nome : Pedro, Nome : Gabriel, Nome : lucas] validadores listados
[Nome : Bernardo, Nome : Othon, Nome : Heitor, Nome : othonvv, Nome : Fabricio, Nome : Jorge Jesus, Nome : Pedro, Nome : Gabriel, Nome : lucas] validadores listados
Staking gerado: 1111111111111111111111111111111111111
lucas foi escolhido
Hash gerada: 433a4bc4279bd6f57e06f196732ccddedf329196f3e0a67c645533af34a63ba5
Transacao gerada: De: 0x1c9b | Para: 0x1276 | Hash: 
Transacao gerada: De: 0xa63 | Para: 0xc36 | Hash: 
Transacao gerada: De: 0x1e16 | Para: 0x85a | Hash: 
Transacao gerada: De: 0x1573 | Para: 0x708 | Hash: 
Transacao gerada: De: 0x2020 | Para: 0x1394 | Hash: 
Transacao gerada: De: 0x710 | Para: 0x1bcd | Hash: 
Transacao gerada: De: 0x16c9 | Para: 0x1e13 | Hash: 
Transacao gerada: De: 0x183a | Para: 0xb98 | Hash: 
Transacao gerada: De: 0x1bd8 | Para: 0x1433 | Hash: 
Transacao gerada: De: 0x940 | Para: 0x23a0 | Hash: 
Transacao gerada: De: 0x2639 | Para: 0x15d0 | Hash: 
Transacao gerada: De: 0xca6 | Para: 0xcf0 | Hash: 
Transacao gerada: De: 0x19b0 | Para: 0x1b30 | Hash: 
